Lighthouse Name,ARLHS Number,Status,State Province,Coordinates,Coordinates,Coordinates,Gridsquare,IOTA,# of Activations
Sandy Island Front Range (Cascumpec Bay),CAN 1258,Hist -,Prince Edward Island,-,-,-,-,-,-
Sandy Point,CAN 447,Hist -,Nova Scotia,-,-,-,-,-,3
Sandy Point Island,CAN 1358,Hist -,Newfoundland and Labrador,-,-,-,-,-,-
Saugeen River Front Range (Lake Huron),CAN 626,- -,Ontario,-,-,-,-,-,2
Saugeen River Rear Range (Lake Huron),CAN 627,Hist -,Ontario,-,-,-,-,-,1
Savage Harbour,CAN 449,- -,Prince Edward Island,46° 26.0' N,062° 50.0' W,Map,FN86nk,-,-
Savard Front Range (Saguenay River),CAN 1189,Hist -,Quebec,-,-,-,-,-,-
Savard Rear Range (Saguenay River),CAN 1190,Hist -,Quebec,-,-,-,-,-,-
Scarlett Point,CAN 450,- -,British Columbia,50° 51.6' N,127° 36.7' W,Map,CO60eu,-,-
Scatarie,CAN 451,- -,Nova Scotia,46° 2.0' N,059° 41.0' W,Map,GN06da,-,-
Schafner Point,CAN 452,- -,Nova Scotia,44° 43.0' N,065° 37.0' W,Map,FN74er,-,1
Seacow Head,CAN 453,Hist -,Prince Edward Island,46° 19.0' N,063° 48.6' W,Map,FN86ch,-,8
Seal Cove Breakwater,CAN 1439,- -,-,-,-,-,-,-,1
Seal Island,CAN 454,- -,Nova Scotia,43° 24.0' N,066° 1.0' W,Map,FN63xj,-,-
Shaganash Island (Lake Superior),CAN 587,Hist -,Ontario,-,-,-,-,-,-
Shampers Wharf,CAN 937,Hist -,New Brunswick,-,-,-,-,-,-
Shediac Bay Yacht Club Breakwater,CAN 1412,- -,-,46° 13.7' N,064° 32.8' W,Map,FN76rf,-,-
"Shediac Harbour Range Front H1332, 1110",CAN 1411,- -,New Brunswick,46° 14.5' N,064° 31.8' W,Map,FN76rf,-,-
"Shediac Harbour Range Rear Shediac Town Wharf Rear Range, H1332.1, 1111",CAN 940,- -,New Brunswick,46° 14.4' N,064° 31.8' W,Map,FN76rf,-,-
Shediac Island Front Range,CAN 938,Hist -,New Brunswick,-,-,-,-,-,-
Shediac Island Rear Range,CAN 939,Hist -,New Brunswick,-,-,-,-,-,-
Sheet Harbour Passage Range Front,CAN 456,- -,Nova Scotia,44° 52.0' N,062° 27.0' W,Map,FN84su,-,1
Sheet Harbour Passage Range Rear,CAN 612,- -,Nova Scotia,44° 52.0' N,062° 27.0' W,Map,FN84su,-,1
Sheet Rock,CAN 457,- -,Nova Scotia,44° 50.0' N,062° 30.0' W,Map,FN84ru,-,-
Sheldrake Island Front Range,CAN 941,Hist -,New Brunswick,-,-,-,-,-,-
Sheringham Point,CAN 458,- -,British Columbia,48° 22.0' N,123° 56.0' W,Map,CN88ai,-,1
"Ship Harbour/Wolfes Island Wolfes Island/Ship Harbour, NS H",CAN 1288,Hist -,Nova Scotia,44° 45.0' N,062° 45.0' W,Map,FN84pr,-,-
Shoal Island (Lake Huron),CAN 588,Hist -,Ontario,-,-,-,-,-,1
"Shoal Tickle/Tickle Point Tickle Point/Shoal Tickle, NF",CAN 460,- -,Newfoundland and Labrador,49° 39.0' N,054° 46.0' W,Map,GN29op,-,-
Shulie (Bay of Fundy),CAN 1239,Hist -,Nova Scotia,-,-,-,-,-,-
Simard Front Range (Saguenay River),CAN 1191,Hist -,Quebec,-,-,-,-,-,-
Sisters Rocks/Islet (Georgia Strait),CAN 462,- -,British Columbia,49° 29.0' N,124° 26.0' W,Map,CN79sl,-,-
Skinner Cove Sector (Gulf of St. Lawrence),CAN 1316,Hist -,Nova Scotia,45° 47.0' N,063° 3.0' W,Map,FN85ls,-,-
Skinners Pond,CAN 265,- -,Prince Edward Island,46° 58.0' N,064° 8.0' W,Map,FN76wx,-,-
Slate Islands Light (Lake Superior),CAN 589,Hist -,Ontario,-,-,-,-,-,-
"Sloop Harbour Point/South Teapot (Brig Harbour Island) South Teapot/Sloop Harbour Point (Brig Harbour Island), NF H",CAN 1359,Hist -,Newfoundland and Labrador,-,-,-,-,-,-
Snake Island (Lake Ontario),CAN 823,- -,Ontario,-,-,-,-,-,2
Snug Harbour (Georgian Bay),CAN 463,Hist -,Ontario,-,-,-,-,-,-
Soulanges Canal Upper Entrance Front Range (St. Lawrence River),CAN 1200,- -,Quebec,-,-,-,-,-,-
Soulanges Canal Upper Entrance Rear Range (St. Lawrence River),CAN 1201,- -,Quebec,-,-,-,-,-,-
Souris East (Knight Point),CAN 465,- -,Prince Edward Island,46° 20.8' N,062° 14.8' W,Map,FN86vi,-,4
Souris East Breakwater,CAN 464,Hist -,Prince Edward Island,46° 20.8' N,062° 15.3' W,Map,FN86ui,-,3
South Baymouth Front Range (Lake Huron),CAN 591,- -,Ontario,-,-,-,-,-,-
South Baymouth Rear Range (Lake Huron),CAN 592,- -,Ontario,-,-,-,-,-,-
South Head,CAN 751,- -,Newfoundland and Labrador,49° 9.0' N,058° 22.0' W,Map,GN09td,-,-
South Tracadie,CAN 942,Hist -,New Brunswick,-,-,-,-,-,-
Southeast Bay (Lake Nipissing),CAN 829,- -,Ontario,-,-,-,-,-,-
Southeast Bend (St. Clair River),CAN 1023,- -,Ontario,42° 33.0' N,082° 37.0' W,Map,EN82qn,-,-
Southeast Shoal (Lake Erie),CAN 468,- -,Ontario,41° 50.0' N,082° 28.0' W,Map,EN81su,-,-
Southwest Head,CAN 469,- -,New Brunswick,-,-,-,-,-,4
Southwest Wolf Island,CAN 470,Hist -,New Brunswick,-,-,-,-,-,3
Spectacle Shoal (St. Lawrence River),CAN 828,- -,Ontario,-,-,-,-,-,2
Spencer Point (Bay of Fundy),CAN 1240,Hist -,Nova Scotia,-,-,-,-,-,-
Spencer's Island,CAN 471,- -,Nova Scotia,45° 21.4' N,064° 42.6' W,Map,FN75pi,-,1
Spruce Point,CAN 472,Hist -,New Brunswick,-,-,-,-,-,-
Spruce Shoal (Georgian Bay),CAN 473,- -,Ontario,-,-,-,-,-,-
Spry Bay Sector,CAN 474,- -,Nova Scotia,44° 49.0' N,062° 36.0' W,Map,FN84qt,-,1
Squaw Island (Lake of the Woods),CAN 827,- -,Ontario,-,-,-,-,-,-
Squirrel Island Front Range (St. Clair River),CAN 1345,Hist -,Ontario,42° 33.0' N,082° 35.0' W,Map,EN82rn,-,-
Squirrel Island Rear Range (St. Clair River),CAN 1346,- -,Ontario,42° 33.0' N,082° 35.0' W,Map,EN82rn,-,-
St. Anicet West Front Range (St. Lawrence Seaway),CAN 1017,- -,Quebec,45° 7.0' N,074° 26.0' W,Map,FN25sc,-,2
St. Anicet West Rear Range (St. Lawrence Seaway),CAN 1018,- -,Quebec,45° 7.0' N,074° 26.0' W,Map,FN25sc,-,2
St. Ann Harbour,CAN 1241,Hist -,Nova Scotia,-,-,-,-,-,-
St. Catharines Breakwater,CAN 1443,- -,-,-,-,-,-,-,1
St. Esprit Island,CAN 754,Hist -,Nova Scotia,45° 37.0' N,060° 29.0' W,Map,FN95so,-,-
"St. Ignace/Talbot Island (Lake Superior) Talbot Island/St. Ignace (Lake Superior), ON H",CAN 1113,Hist -,Ontario,-,-,-,-,-,-
St. Jacques,CAN 669,- -,Newfoundland and Labrador,47° 28.0' N,055° 24.0' W,Map,GN27hl,-,-
St. John Harbour,CAN 943,Hist -,New Brunswick,-,-,-,-,-,-
St. Lawrence Point,CAN 843,Hist -,Newfoundland and Labrador,-,-,-,-,-,-
St. Martins,CAN 944,Hist -,New Brunswick,-,-,-,-,-,1
St. Modeste Island (Labrador),CAN 700,- -,Newfoundland and Labrador,51° 36.0' N,056° 41.0' W,Map,GO11po,-,-
St. Peters,CAN 478,Hist -,Prince Edward Island,46° 27.0' N,062° 45.0' W,Map,FN86pk,-,2
St. Peters Harbour Front Range,CAN 479,- -,Prince Edward Island,46° 26.0' N,062° 44.0' W,Map,FN86pk,-,-
St. Peters Harbour Rear Range,CAN 480,- -,Prince Edward Island,46° 26.0' N,062° 44.0' W,Map,FN86pk,-,-
St. Peters Island,CAN 481,Hist -,Prince Edward Island,46° 7.0' N,063° 11.0' W,Map,FN86jc,-,-
Stag Island Shoal (St. Claire River),CAN 826,- -,Ontario,-,-,-,-,-,2
Steven Point Front Range (Pugwash Harbour),CAN 1377,Hist -,Nova Scotia,-,-,-,-,-,-
Steven Point Rear Range (Pugwash Harbour),CAN 1378,Hist -,Nova Scotia,-,-,-,-,-,-
Stokes Bay Front Range (Lake Huron),CAN 624,Hist -,Ontario,-,-,-,-,-,-
Stokes Bay Rear Range (Lake Huron),CAN 625,Hist -,Ontario,-,-,-,-,-,-
Stonehaven,CAN 945,Hist -,New Brunswick,-,-,-,-,-,-
Strawberry Island,CAN 483,- -,Ontario,45° 58.3' N,081° 51.3' W,Map,EN95bx,-,-
Stribling Point Front Range (St. Mary's River),CAN 825,- -,Ontario,-,-,-,-,-,-
Stribling Point Rear Range (St. Mary's River),CAN 824,- -,Ontario,-,-,-,-,-,-
Sulphur Island (Lake Huron),CAN 484,- -,Ontario,-,-,-,-,-,-
Summerside Front Range (Wharf),CAN 488,- -,Prince Edward Island,46° 23.0' N,063° 47.0' W,Map,FN86cj,-,2
Summerside Marina Breakwater,CAN 485,- -,Prince Edward Island,46° 23.0' N,063° 47.0' W,Map,FN86cj,-,2
Summerside Outer Front Range,CAN 486,- -,Prince Edward Island,46° 24.0' N,063° 49.0' W,Map,FN86cj,-,3
Summerside Outer Rear Range,CAN 487,- -,Prince Edward Island,46° 24.0' N,063° 49.0' W,Map,FN86cj,-,3
Summerside Rear Range,CAN 489,- -,Prince Edward Island,46° 23.0' N,063° 47.0' W,Map,FN86cj,-,1
Supple Point (Ottawa River),CAN 1202,Hist -,Quebec,-,-,-,-,-,-
Surgeon Cove Point,CAN 490,- -,Newfoundland and Labrador,49° 31.0' N,055° 7.0' W,Map,GN29km,-,-
Swallowtail,CAN 491,Hist -,New Brunswick,-,-,-,-,-,3
Swashway Front Range,CAN 946,Hist -,New Brunswick,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 492,- -,-,-,-,-,-,-,-
Sydney Bar,CAN 493,- -,Nova Scotia,46° 12.0' N,060° 13.0' W,Map,FN96ve,-,-
Sydney Front Range (Cape Breton Island),CAN 494,Hist -,Nova Scotia,46° 11.0' N,060° 15.0' W,Map,FN96ue,-,1
Sydney Rear Range (Cape Breton Island),CAN 641,Hist -,Nova Scotia,46° 11.0' N,060° 15.0' W,Map,FN96ue,-,-
Tabusintac Gully Front Range,CAN 947,Hist -,New Brunswick,-,-,-,-,-,1
Telegraph Island (Bay Of Quinte) (Lake Ontario),CAN 1085,Hist -,Ontario,44° 9.8' N,077° 7.3' W,Map,FN14kd,-,1
Terence Bay,CAN 495,- -,Nova Scotia,44° 28.0' N,063° 42.0' W,Map,FN84dl,-,1
Tétreauville Front Range (Old) (Montreal Island),CAN 1203,Hist -,Quebec,-,-,-,-,-,1
Thames River Front Range (Lake St. Clair),CAN 1331,- -,Ontario,42° 20.0' N,082° 28.0' W,Map,EN82si,-,1
Thames River Rear Range (Lake St. Clair),CAN 594,- -,Ontario,-,-,-,-,-,1
Thessalon,CAN 499,- -,Ontario,-,-,-,-,-,-
Thornbury,CAN 500,- -,Ontario,-,-,-,-,-,-
Three Top Island (Tor Bay),CAN 1242,Hist -,Nova Scotia,-,-,-,-,-,-
Thunder Bay (Lake Superior),CAN 501,Hist -,Ontario,-,-,-,-,-,-
Thunder Bay Main Light (Lake Superior),CAN 595,- -,Ontario,-,-,-,-,-,1
Thunder Cape (Thunder Bay) (Lake Superior),CAN 1086,Hist -,Ontario,-,-,-,-,-,-
Tides Cove Point,CAN 1341,- -,Newfoundland and Labrador,47° 6.0' N,055° 4.0' W,Map,GN27lc,-,-
"Tikkerasuk Island/Winsor Harbour Island (Kanairiktok Bay) Winsor Harbour Island/Tikkerasuk Island (Kanairiktok Bay), NF H",CAN 1361,Hist -,Newfoundland and Labrador,-,-,-,-,-,-
Tobermory (Georgian Bay),CAN 502,Hist -,Ontario,-,-,-,-,-,-
Tomahawk Island (Lake Of The Woods),CAN 1087H,Hist -,Ontario,-,-,-,-,-,-
"Tomahawk Island (Morson Museum) Tomahawk Island (Lake Of The Woods), ON H",CAN 1087M,Hist Museum,Ontario,-,-,-,-,-,-
Tongue Shoal,CAN 948,Hist -,New Brunswick,-,-,-,-,-,1
Toronto Harbour East Entrance Inner,CAN 805,- -,Ontario,-,-,-,-,-,1
Toronto Harbour East Entrance Outer,CAN 806,- -,Ontario,-,-,-,-,-,2
Toronto Harbour Light,CAN 544,- -,Ontario,-,-,-,-,-,1
Toronto Harbour West Entrance Front Range (Lake Ontario),CAN 1340,Hist -,Ontario,-,-,-,-,-,3
Toronto Rear Range (Toronto Harbour),CAN 804,- -,Ontario,-,-,-,-,-,1
Tracadie Inner Front Range,CAN 503,- -,Prince Edward Island,46° 25.0' N,063° 3.0' W,Map,FN86lk,-,-
Tracadie Inner Rear Range,CAN 504,- -,Prince Edward Island,46° 25.0' N,063° 3.0' W,Map,FN86lk,-,-
Traverse Cap-santÃ© Front Range,CAN 1444,- -,-,-,-,-,-,-,-
Traverse Cap-Santé Rear Range,CAN 1145,- -,Quebec,46° 41.5' N,071° 53.0' W,Map,FN46bq,-,-
Traverse de Saint-Antoine Rear Range,CAN 1249,- -,Quebec,46° 39.9' N,071° 35.0' W,Map,FN46ep,-,1
Trenton Rear Range,CAN 883,- -,Nova Scotia,45° 37.0' N,062° 39.0' W,Map,FN85qo,-,-
Trial Island,CAN 506,- -,British Columbia,48° 24.0' N,123° 18.0' W,Map,CN88ij,-,-
Triangle Island (Cape Scott),CAN 507,Hist -,British Columbia,50° 52.0' N,129° 5.0' W,Map,CO50ku,-,-
Triple Islands,CAN 508,- -,British Columbia,54° 18.0' N,130° 52.0' W,Map,CO44nh,-,-
Trois-pistoles Range Front,CAN 1394,- -,Quebec,48° 8.1' N,069° 11.2' W,Map,FN58jd,-,-
Trois-pistoles Range Rear,CAN 1395,- -,Quebec,-,-,-,-,-,-
Troop Point (Bay of Fundy),CAN 1243,Hist -,Nova Scotia,-,-,-,-,-,-
Trowbridge Island (Lake Superior),CAN 596,- -,Ontario,48° 17.6' N,088° 52.4' W,Map,EN58nh,-,2
"Turning Rock/Waubaushene Waubaushene/Turning Rock, ON",CAN 509,- -,Ontario,-,-,-,-,-,-
Tusket River,CAN 510,Hist -,Nova Scotia,43° 42.0' N,065° 57.0' W,Map,FN73aq,-,-
Un-assigned No longer an ARLHS light,CAN 444,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 431,Hist -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 539,Hist -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 467,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 186,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 101,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 434,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 413,Hist -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 424,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 353,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 117,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 414,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 475,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 351,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 476,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 477,Hist -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 003,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 443,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 352,Hist -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 461,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 438,Hist -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 357,Hist -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 496,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 497,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 436,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 455,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 088,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 253,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 960,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 281,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 437,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 780,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 710,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 021,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 145,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 466,Hist -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 984,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 275,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 712,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 427,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 798,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 799,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 515,- -,-,46° 13.0' N,063° 29.0' W,Map,FN86gf,-,-
Un-assigned No longer an ARLHS light,CAN 1176,Hist -,-,45° 20.0' N,073° 57.0' W,Map,FN35ai,-,-
Un-assigned No longer an ARLHS light,CAN 1177,Hist -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 238,- -,-,47° 56.0' N,069° 40.0' W,Map,FN57ew,-,-
Un-assigned No longer an ARLHS light,CAN 796,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 983,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 803,- -,-,46° 15.0' N,063° 42.0' W,Map,FN86dg,-,-
Un-assigned No longer an ARLHS light,CAN 801,- -,-,-,-,-,-,-,-
Un-assigned No longer an ARLHS light,CAN 830,- -,-,-,-,-,-,-,-
Upper Traverse (St. Lawrence River),CAN 989,Hist -,Quebec,-,-,-,-,-,-
Valleyfield/Grossse Pointe (Red Tower) (St. Lawrence River),CAN 1204,Hist -,Quebec,-,-,-,-,-,-
Valleyfield/Grossse Pointe (White Tower) (St. Lawrence River),CAN 1205,Hist -,Quebec,-,-,-,-,-,-
Verchères Traverse Front Range (St. Lawrence River),CAN 1342,Hist -,Quebec,-,-,-,-,-,-
Verchères Traverse Rear Range (St. Lawrence River),CAN 1343,Hist -,Quebec,-,-,-,-,-,-
Verchères Village Front Range (St. Lawrence River),CAN 1206,- -,Quebec,-,-,-,-,-,-
Vercheres Village Range Rear,CAN 1427,- -,-,-,-,-,-,-,-
Victoria Beach,CAN 511,Hist -,Nova Scotia,44° 41.0' N,065° 45.0' W,Map,FN74cq,-,1
Victoria Harbour Front Range (Georgian Bay),CAN 1088,Hist -,Ontario,-,-,-,-,-,-
Victoria Harbour Rear Range (Georgian Bay),CAN 1042,Hist -,Ontario,44° 44.8' N,079° 46.6' W,Map,FN04cr,-,2
Victoria Island (Thunder Bay),CAN 859,- -,Ontario,-,-,-,-,-,-
Wadleigh (Lake Memphremagog),CAN 718,Hist -,Quebec,45° 11.2' N,072° 14.0' W,Map,FN35ve,-,-
Wallace Harbour Rear Range,CAN 604,Hist -,Nova Scotia,45° 48.7' N,063° 28.2' W,Map,FN85gt,-,-
Wallace Harbour Sector Front Range Wallace Harbour Front Range,CAN 518,- -,Nova Scotia,45° 48.8' N,063° 27.7' W,Map,FN85gt,-,1
Wallace Wharf (Gulf of St. Lawrence),CAN 1317,- -,Nova Scotia,45° 48.9' N,063° 28.4' W,Map,FN85gt,-,-
Walpole Island Lower (St. Clair River),CAN 1024,- -,Ontario,42° 37.0' N,082° 31.0' W,Map,EN82ro,-,-
Walpole Island Upper (St. Clair River),CAN 1025,- -,Ontario,42° 37.0' N,082° 31.0' W,Map,EN82ro,-,-
Walton Harbour,CAN 519,- -,Nova Scotia,-,-,-,-,-,1
Ward Point,CAN 949,Hist -,New Brunswick,-,-,-,-,-,-
Warren Cove Front Range (Charlottetown),CAN 130,- -,Prince Edward Island,46° 12.0' N,063° 8.0' W,Map,FN86ke,-,-
Warren Cove Rear Range (Charlottetown),CAN 131,- -,Prince Edward Island,46° 12.0' N,063° 8.0' W,Map,FN86ke,-,-
Warren Landing Lower Front Range (Lake Winnipeg),CAN 849,- -,Manitoba,53° 42.0' N,097° 51.0' W,Map,EO13bq,-,-
Warren Landing Lower Rear Range (Lake Winnipeg),CAN 850,- -,Manitoba,53° 42.0' N,097° 51.0' W,Map,EO13bq,-,-
Warren Landing Upper Front Range (Lake Winnipeg),CAN 851,- -,Manitoba,53° 42.0' N,097° 52.0' W,Map,EO13bq,-,-
Warren Landing Upper Rear Range (Lake Winnipeg),CAN 852,- -,Manitoba,53° 42.0' N,097° 52.0' W,Map,EO13bq,-,-
Way Shoal (Ottawa River),CAN 1305,Hist -,Quebec,-,-,-,-,-,1
Weaver Shoal Light 68,CAN 1455,- -,Ontario,44° 55.9' N,075° 4.1' W,Map,FN24lw,-,4
Wedge Island,CAN 1244,Hist -,Nova Scotia,-,-,-,-,-,-
Welcome Island (Lake Superior),CAN 521,- -,Ontario,48° 22.0' N,089° 7.0' W,Map,EN58ki,-,-
West Arichat Front Range (Cape Breton Island),CAN 1245,Hist -,Nova Scotia,-,-,-,-,-,-
West Arichat Rear Range (Cape Breton Island),CAN 1246,Hist -,Nova Scotia,-,-,-,-,-,-
West Head (Cape Sable Island),CAN 522,Hist -,Nova Scotia,43° 27.0' N,065° 39.0' W,Map,FN73ek,-,1
West Ironbound Island,CAN 523,Hist -,Nova Scotia,44° 14.0' N,064° 17.0' W,Map,FN74uf,-,-
West Point,CAN 524,- -,Prince Edward Island,46° 37.0' N,064° 23.0' W,Map,FN76to,-,2
West Point (Francois),CAN 701,- -,Newfoundland and Labrador,47° 34.0' N,056° 44.0' W,Map,GN17pn,-,-
West Point Breakwater Front Range,CAN 526,- -,Prince Edward Island,46° 37.0' N,064° 22.0' W,Map,FN76to,-,-
West Point Rear Range,CAN 527,Hist -,Prince Edward Island,46° 37.0' N,064° 22.0' W,Map,FN76to,-,-
West Sister Rock (Georgian Bay),CAN 528,- -,Ontario,-,-,-,-,-,1
Western Head,CAN 529,- -,Nova Scotia,43° 59.0' N,064° 40.0' W,Map,FN73px,-,1
Western Island (Georgian Bay),CAN 498,- -,Ontario,45° 2.2' N,080° 21.1' W,Map,EN95ta,-,-
Westhaver Island,CAN 530,- -,Nova Scotia,44° 26.0' N,064° 20.0' W,Map,FN74uk,-,1
Westport Cove,CAN 702,Hist -,Newfoundland and Labrador,49° 47.0' N,056° 37.0' W,Map,GN19qs,-,-
Whiskey Island (Georgian Bay),CAN 531,- -,Ontario,44° 49.0' N,079° 55.3' W,Map,FN04at,-,-
Whitby (Lake Ontario),CAN 816,- -,Ontario,43° 51.0' N,078° 55.6' W,Map,FN03mu,-,-
White Head Island (Guysborough Co.),CAN 532,- -,Nova Scotia,-,-,-,-,-,1
White Head Island (Yarmouth Co.),CAN 533,- -,Nova Scotia,-,-,-,-,-,1
Wilmot's Bluff,CAN 734,- -,New Brunswick,-,-,-,-,-,-
Wilson Channel Front Range (Lake Huron),CAN 599,- -,Ontario,-,-,-,-,-,1
Wilson Channel Rear Range (Lake Huron),CAN 600,- -,Ontario,-,-,-,-,-,1
Windmill Point,CAN 534,- -,Ontario,-,-,-,-,-,17
Winnipegosis (Lake Winnipegosis),CAN 860,- -,Manitoba,-,-,-,-,-,-
Witch Shoal (Lake Memphremagog),CAN 719,Hist -,Quebec,-,-,-,-,-,-
Wolfe Island (Lake Ontario),CAN 638,- -,Ontario,-,-,-,-,-,1
Wolfville (Bay of Fundy),CAN 899,Hist -,Nova Scotia,45° 5.0' N,064° 22.0' W,Map,FN75tb,-,-
Wood Islands,CAN 535,- -,Prince Edward Island,45° 57.0' N,062° 44.8' W,Map,FN85pw,-,9
Wood Islands Harbour Front Range,CAN 536,- -,Prince Edward Island,45° 57.0' N,062° 45.0' W,Map,FN85pw,-,5
Wood Islands Harbour Rear Range,CAN 537,- -,Prince Edward Island,45° 57.0' N,062° 45.0' W,Map,FN85pw,-,5
Woods Harbour,CAN 538,- -,Nova Scotia,43° 31.0' N,065° 45.0' W,Map,FN73cm,-,1
Woody Point,CAN 703,Hist -,Newfoundland and Labrador,49° 30.0' N,057° 55.0' W,Map,GN19bl,-,-
Wrights Front Range (Victoria Harbour),CAN 516,Hist -,Prince Edward Island,46° 12.0' N,063° 30.0' W,Map,FN86fe,-,1
Wrights Rear Range (Victoria Harbour),CAN 517,- -,Prince Edward Island,46° 12.0' N,063° 30.0' W,Map,FN86fe,-,1
